diag,proc,msp,din
B974,32672,09956,
B975,32800,09959,
B976,32815,0998,
B977,32905,0999,
B9781,32906,1000,
B9789,32940,10081,
B998,32960,10089,
B999,39000,1009,
C000,39010,101,
C001,39200,1020,
C002,39220,1021,
C003,39501,1022,
C004,39545,1023,
C005,39560,1024,
C006,39561,1025,
C008,64746,1026,
C009,60200,1027,
C01,60210,1028,
C020,60212,1029,
C021,60220,1030,
C022,60225,1031,
C023,60240,1032,
C024,60252,1033,
C028,60254,1039,
C029,60260,1040,
C030,60270,1048,
C031,60271,1049,
C039,60500,1100,
C040,60502,1101,
C041,60505,1102,
C048,60512,1103,
C049,51925,1104,
C050,58260,1105,
C051,58262,1106,
C052,58263,1108,
C058,58267,1109,
C059,58270,1110,
C060,58275,1111,
C061,58280,1112,
C062,58285,1113,
C0680,58290,1118,
C0689,58291,1119,
C069,58292,1120,
C07,58293,1121,
C080,58294,1122,
C081,62160,1123,
C089,62180,1124,
C090,62190,1125,
C091,62192,11281,
C098,62194,11282,
C099,62220,11283,
C100,62223,11284,
C101,62225,11285,
C102,62230,11289,
C103,62256,1129,
C104,62258,114,
C108,20102,1140,
C109,35840,1141,
C110,39503,1142,
C111,39540,1143,
C112,39541,1144,
C113,43332,1145,
C118,43333,1149,
C119,44005,11500,
C12,44180,11501,
C130,44700,11502,
C131,44820,11503,
C132,44850,11504,
C138,49000,11505,
C139,49002,11509,
C140,49010,11510,
C142,49013,11511,
C148,49014,11512,
C153,49020,11513,
C154,49040,11514,
C155,49060,11515,
C158,49203,11519,
C159,49204,11590,
C160,49205,11591,
C161,49215,11592,
C162,49220,11593,
C163,49250,11594,
C164,49255,11595,
C165,49320,11599,
C166,49321,1160,
C168,49324,1161,
C169,49325,1162,
C170,49326,1170,
C171,49402,1171,
C172,49412,1172,
C173,49419,1173,
C178,49421,1174,
C179,49425,1175,
C180,49426,1176,
C181,49900,1177,
C182,49905,1178,
C183,49906,1179,
C184,58960,118,
C185,,1200,
C186,,1201,
C187,,1202,
C188,,1203,
C189,,1208,
C19,,1209,
C20,,1210,
C210,,1211,
C211,,1212,
C212,,1213,
C218,,1214,
C220,,1215,
C221,,1216,
C222,,1218,
C223,,1219,
C224,,1220,
C227,,1221,
C228,,1222,
C229,,1223,
C23,,1224,
C240,,1225,
C241,,1226,
C248,,1227,
C249,,1228,
C250,,1229,
C251,,1230,
C252,,1231,
C253,,1232,
C254,,1233,
C257,,1234,
C258,,1235,
C259,,1236,
C260,,1238,
C261,,1239,
C269,,124,
C300,,1250,
C301,,1251,
C310,,1252,
C311,,1253,
C312,,1254,
C313,,1255,
C318,,1256,
C319,,1257,
C320,,1259,
C321,,1260,
C322,,1261,
C323,,1262,
C328,,1263,
C329,,1268,
C33,,1269,
C3400,,1270,
C3401,,1271,
C3402,,1272,
C3410,,1273,
C3411,,1274,
C3412,,1275,
C342,,1276,
C3430,,1277,
C3431,,1278,
C3432,,1279,
C3480,,1280,
C3481,,1281,
C3482,,1288,
C3490,,1289,
C3491,,129,
C3492,,1300,
C37,,1301,
C380,,1302,
C381,,1303,
C382,,1304,
C383,,1305,
C384,,1307,
C388,,1308,
C390,,1309,
C399,,131,
C4000,,13100,
C4001,,13101,
C4002,,13102,
C4010,,13103,
C4011,,13109,
C4012,,1318,
C4020,,1319,
C4021,,1320,
C4022,,1321,
C4030,,1322,
C4031,,1323,
C4032,,1329,
C4080,,1330,
C4081,,1338,
C4082,,1339,
C4090,,1340,
C4091,,1341,
C4092,,1342,
C410,,1348,
C411,,1349,
C412,,135,
C413,,136,
C414,,1360,
C419,,1361,
C430,,1362,
C4310,,13621,
C4311,,13629,
C43111,,1363,
C43112,,1364,
C4312,,1365,
C43121,,1368,
C43122,,1369,
C4320,,1370,
C4321,,1371,
C4322,,1372,
C4330,,1373,
C4331,,1374,
C4339,,138,
C434,,1390,
C4351,,1391,
C4352,,1398,
C4359,,1400,
C4360,,1401,
C4361,,1403,
C4362,,1404,
C4370,,1405,
C4371,,1406,
C4372,,1408,
C438,,1409,
C439,,1410,
C4400,,1411,
C4401,,1412,
C4402,,1413,
C4409,,1414,
C44101,,1415,
C44102,,1416,
C441021,,1418,
C441022,,1419,
C44109,,1420,
C441091,,1421,
C441092,,1422,
C44111,,1428,
C44112,,1429,
C441121,,1430,
C441122,,1431,
C44119,,1438,
C441191,,1439,
C441192,,1440,
C44121,,1441,
C44122,,1448,
C441221,,1449,
C441222,,1450,
C44129,,1451,
C441291,,1452,
C441292,,1453,
C44131,,1454,
C441321,,1455,
C441322,,1456,
C441391,,1458,
C441392,,1459,
C44191,,1460,
C44192,,1461,
C441921,,1462,
C441922,,1463,
C44199,,1464,
C441991,,1465,
C441992,,1466,
C44201,,1467,
C44202,,1468,
C44209,,1469,
C44211,,1470,
C44212,,1471,
C44219,,1472,
C44221,,1473,
